Kategori,Berkas,Keyakinan (%),Prediksi MobileNetV2,Prediksi EfficientNet-B0,Ditolak
kontrol_anjing,beagle.jpg,99.97,beagle,beagle,Tidak
kontrol_anjing,boxer1.jpg,99.68,boxer,boxer,Tidak
kontrol_anjing,bulldog.jpg,98.24,french_bulldog,french_bulldog,Tidak
kontrol_anjing,chh.jpg,99.42,chihuahua,chihuahua,Tidak
kontrol_anjing,doberman.jpg,98.8,doberman,doberman,Tidak
kontrol_anjing,german.jpg,99.99,german_shepherd,german_shepherd,Tidak
kontrol_anjing,golden.jpg,99.71,golden_retriever,golden_retriever,Tidak
kontrol_anjing,husky1.jpg,98.65,siberian_husky,siberian_husky,Tidak
kontrol_anjing,labrador.jpg,96.64,labrador_retriever,labrador_retriever,Tidak
kontrol_anjing,malamute.jpg,89.68,malamute,malamute,Tidak
kontrol_anjing,pug.jpg,99.41,pug,pug,Tidak
kontrol_anjing,rottweiler2.jpg,99.85,rottweiler,rottweiler,Tidak
kontrol_anjing,samoyed.jpg,99.82,samoyed,samoyed,Tidak
kontrol_anjing,shih-tzu.jpg,99.98,tzu,tzu,Tidak
kontrol_anjing,spaniel.jpg,99.87,cocker_spaniel,cocker_spaniel,Tidak
kucing,kucing1.jpg,64.73,samoyed,malamute,Tidak
kucing,kucing10.jpg,50.19,siberian_husky,siberian_husky,Tidak
kucing,kucing11.jpg,50.41,tzu,samoyed,Tidak
kucing,kucing12.jpg,53.33,siberian_husky,pug,Tidak
kucing,kucing13.jpg,80.33,siberian_husky,siberian_husky,Tidak
kucing,kucing14.jpg,68.17,chihuahua,chihuahua,Tidak
kucing,kucing15.jpg,96.7,chihuahua,chihuahua,Tidak
kucing,kucing2.jpg,61.47,french_bulldog,chihuahua,Tidak
kucing,kucing3.jpg,31.53,siberian_husky,pug,Ya
kucing,kucing4.jpg,53.04,siberian_husky,pug,Tidak
kucing,kucing5.jpg,57.41,pug,pug,Tidak
kucing,kucing6.jpg,69.65,tzu,chihuahua,Tidak
kucing,kucing7.jpg,58.36,siberian_husky,chihuahua,Tidak
kucing,kucing8.jpg,50.53,chihuahua,pug,Tidak
kucing,kucing9.jpg,50.61,siberian_husky,chihuahua,Tidak
manusia,manusia1.jpg,34.18,labrador_retriever,labrador_retriever,Ya
manusia,manusia10.jpg,31.76,french_bulldog,labrador_retriever,Ya
manusia,manusia11.jpg,53.4,french_bulldog,chihuahua,Tidak
manusia,manusia12.jpg,17.18,beagle,golden_retriever,Ya
manusia,manusia13.jpg,40.41,golden_retriever,labrador_retriever,Ya
manusia,manusia14.jpg,23.02,siberian_husky,golden_retriever,Ya
manusia,manusia15.jpg,45.75,beagle,chihuahua,Ya
manusia,manusia2.jpg,27.73,beagle,chihuahua,Ya
manusia,manusia3.jpg,30.72,boxer,chihuahua,Ya
manusia,manusia4.jpg,29.04,tzu,chihuahua,Ya
manusia,manusia5.jpg,24.12,boxer,labrador_retriever,Ya
manusia,manusia6.jpg,24.37,boxer,golden_retriever,Ya
manusia,manusia7.jpg,43.89,french_bulldog,chihuahua,Ya
manusia,manusia8.jpg,27.04,german_shepherd,chihuahua,Ya
manusia,manusia9.jpg,54.34,french_bulldog,labrador_retriever,Tidak
objek_mati,bendamati1.jpg,24.91,pug,chihuahua,Ya
objek_mati,bendamati2.jpg,29.37,siberian_husky,labrador_retriever,Ya
objek_mati,bendamati3.jpg,83.21,pug,chihuahua,Tidak
objek_mati,bendamati4.jpg,28.71,golden_retriever,tzu,Ya
objek_mati,bendamati5.jpg,21.25,cocker_spaniel,siberian_husky,Ya
objek_mati,lukisan1.jpg,25.46,labrador_retriever,malamute,Ya
objek_mati,lukisan2.jpg,41.8,cocker_spaniel,chihuahua,Ya
objek_mati,lukisan3.jpg,41.51,siberian_husky,siberian_husky,Ya
